"","lemme","freqlemfilms2","nb_lettres","anagramme"
"1","être",32236.5,4,"êret"
"2","avoir",13572.4,5,"rvaio"
"3","aller",9992.77,5,"elalr"
"4","faire",8813.48,5,"riaef"
"5","dire",5946.15,4,"ried"
"6","pouvoir",5524.47,7,"ouiprov"
"7","vouloir",5249.3,7,"oilvoru"
"8","savoir",4516.71,6,"irsoav"
"9","voir",4119.43,4,"orvi"
"10","devoir",3232.57,6,"dvoeri"
"11","venir",2763.82,5,"vnrie"
"12","suivre",2090.54,6,"rvuies"
"13","parler",1970.55,6,"pelrar"
"14","prendre",1913.83,7,"dnerepr"
"15","croire",1711.99,6,"eirrco"
"16","aimer",1655.07,5,"emair"
"17","falloir",1653.76,7,"afrioll"
"18","passer",1495.49,6,"arssep"
"19","penser",1485.47,6,"enprse"
"20","attendre",1351.46,8,"etntaerd"
"21","trouver",1335.49,7,"uorrtve"
"22","laisser",1334.1,7,"srsalei"
"23","arriver",1252.42,7,"arrievr"
"24","donner",1209.67,6,"nnedro"
"25","regarder",1197.29,8,"rdrgaree"
"26","appeler",1165.48,7,"elparpe"
"27","partir",1111.97,6,"irtpar"
"28","mettre",1004.83,6,"rteemt"
"29","rester",1003.56,6,"reters"
"30","arrêter",993.79,7,"errrêta"
"31","connaître",961.03,9,"îactnnoer"
"32","tuer",928.06,4,"rute"
"33","mourir",916.4,6,"ruiorm"
"34","demander",909.77,8,"mdaneedr"
"35","comprendre",893.51,10,"ndocmreepr"
"36","sortir",884.26,6,"srroit"
"37","entendre",728.67,8,"tdereenn"
"38","chercher",712.46,8,"erhecchr"
"39","aider",688.71,5,"riaed"
"40","essayer",670.4,7,"eryaess"
"41","revenir",618.62,7,"nreivre"
"42","plaire",607.21,6,"iarple"
"43","jouer",570.12,5,"rouje"
"44","finir",557.61,5,"rniif"
"45","perdre",546.08,6,"eerrdp"
"46","sentir",535.4,6,"tinres"
"47","rentrer",532.51,7,"nreretr"
"48","vivre",510.19,5,"evivr"
"49","rendre",508.81,6,"nerder"
"50","tenir",504.69,5,"rntei"
"51","oublier",486.96,7,"olbirue"
"52","travailler",479.49,10,"llvarteari"
"53","écouter",470.93,7,"urtéeco"
"54","manger",467.82,6,"neargm"
"55","entrer",450.11,6,"eenrrt"
"56","devenir",438.57,7,"ervnide"
"57","commencer",436.83,9,"cmceomner"
"58","payer",416.68,5,"payre"
"59","tirer",415.14,5,"iertr"
"60","ouvrir",413.32,6,"iurvro"
"61","changer",411.99,7,"naegchr"
"62","tomber",407.82,6,"ebomtr"
"63","foutre",400.67,6,"turofe"
"64","excuser",399.19,7,"csrxuee"
"65","dormir",392.09,6,"rdiorm"
"66","occuper",375.14,7,"crpuoec"
"67","marcher",364.37,7,"rhmecra"
"68","envoyer",360.16,7,"ovrneey"
"69","apprendre",348.47,9,"epedrrnap"
"70","boire",339.05,5,"boier"
"71","garder",338.4,6,"rdearg"
"72","montrer",327.33,7,"rormetn"
"73","asseoir",322.71,7,"riossae"
"74","porter",319.98,6,"otperr"
"75","souvenir",315.05,8,"voisuenr"
"76","prier",313.12,5,"errip"
"77","servir",309.81,6,"seirrv"
"78","écrire",305.92,6,"erérci"
"79","espérer",301.08,7,"rrsépee"
"80","désoler",297.27,7,"reélosd"
"81","retrouver",295.17,9,"retueorvr"
"82","gagner",294.44,6,"rggean"
"83","acheter",290.7,7,"hatecre"
"84","rappeler",281.75,8,"erprlpae"
"85","lire",281.09,4,"eilr"
"86","monter",277.32,6,"onmter"
"87","quitter",276.23,7,"uqttier"
"88","emmener",272.71,7,"mreneme"
"89","toucher",270.27,7,"ohuetrc"
"90","continuer",269.95,9,"uteocrnin"
"91","importer",259.37,8,"ritopmer"
"92","manquer",253.94,7,"maurqne"
"93","raconter",253.84,8,"oteacrrn"
"94","répondre",251.57,8,"déoernpr"
"95","sauver",246.54,6,"rvasue"
"96","retourner",245.35,9,"oetnerrru"
"97","rencontrer",241.04,10,"rncenorrte"
"98","voler",238.82,5,"vlroe"
"99","fermer",238.65,6,"rmreef"
"100","valoir",236.07,6,"varilo"
"101","descendre",235.97,9,"nsededcer"
"102","suffire",232.08,7,"sfueirf"
"103","sembler",229.25,7,"ebslmer"
"104","compter",227.78,7,"temporc"
"105","marier",220.51,6,"eriarm"
"106","poser",217.2,5,"oprse"
"107","inquiéter",212.16,9,"intréqieu"
"108","bouger",211.9,6,"ergbou"
