,Unnamed: 0,lemme,freqlemfilms2,nb_lettres,anagramme,def_1,def_2,def_3,def_4,def_5,def_6,def_7,def_8,def_9,def_10,def_11,def_12,def_13,def_14,def_15,def_16,def_17,def_18,def_19,def_20,def_21,def_22,def_23,def_24,def_25,def_26,def_27,def_28,def_29,def_30,def_31,def_32,def_33,def_34,def_35,def_36,def_37,def_38,def_39
0,1,tout,2948.75,4,utto,"Qui comprend l’intégrité, l’entièreté, la totalité d’une chose considérée par rapport au nombre, à l’étendue ou à l’intensité de l’énergie.","(Littéraire) (Au singulier) Chaque, n’importe quel. Note :  Il est alors devant le nom sans article.","Entièrement, complètement, sans exception, sans réserve, tout à fait.","Exactement ; très précisément. — Note :  Dans ce sens, il est suivi de premier ou dernier.",Renforce le gérondif (en participe présent) pour mieux marquer la simultanéité.,"Suivi d’un adjectif ou d’un nom, puis de la conjonction que, marque une opposition ou une concession ; équivaut alors à si.",(Populaire) Très.,"(Au singulier) Toute chose, toute sorte de choses.","Tout le monde, l’ensemble des personnes, d’une collectivité.","(Au pluriel) Ensemble des personnes, des choses dont on vient de parler.",(Au pluriel) Emphase de la totalité du pronom personnel précédent.,"(Au singulier) L’ensemble, la totalité.","(Au masculin pluriel) (Littéraire) Tout le monde, tous les gens ; l’ensemble de l’humanité.","Ensemble, la somme des parties, une chose divisible considérée en son entier.","(En particulier) L’ensemble, après l’énumération de plusieurs choses, des parties jointes toutes ensemble.","Ce qu’il y a de principal, de plus important dans une chose.",Le mot entier proposé en charade.,"(Héraldique) Le champ et ses charges, en parlant d’une autre charge superposée.","(Jeu) Troisième partie qui se joue après qu’un des deux joueurs a perdu partie et revanche, et où l’on joue autant d’argent que l’on en a joué dans les deux premières parties ensemble.",Vendre avec insistance.,Vendre au marché noir.,"(Intransitif) Racoler, vendre des pronostics.",Vanter.,,,,,,,,,,,,,,,,
1,2,quoi,1558.22,4,oiuq,Quelle chose ?,"Qui tient lieu de. Lequel, laquelle, tant au singulier qu’au pluriel, lorsqu’il est précédé d’une préposition ; il ne se dit que des choses.",(Absolument) Quelle chose. Ce que.,"Exprime l’étonnement, l’incompréhension, l’indignation, etc.","Introduit une certitude, une évidence, une décision, un argument.","Exprime à l’interlocuteur la mauvaise transmission du message, le fait qu’il demeure incompris, ou encore la volonté qu’il soit réitéré.","Exprime à l’attente d’une réponse, d’une réaction, l’explication d’une situation, d’une action.",(Populaire) Tic de langage en fin de phrase pour faire appel à l’assentiment de l’interlocuteur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,petit,1106.8,5,tpiet,De taille réduite.,Jeune.,Mesquin ; médiocre.,"Qui est peu élevé en quantité, qui n’atteint pas la mesure ordinaire.","En raccourci, en miniature.",(Familier) Marque d’affection.,(Péjoratif) Marque de rabaissement.,"Enfant, petiot.",Progéniture d’un animal.,"(Par ellipse) Petit objet, petite chose.","(Familier) As, un d’atout, l’un des trois bouts au tarot.",(Familier) (Pétanque) Autre nom du cochonnet ou but.,Personne sans fortune ni pouvoir.,(Vieilli) Peu.,Petite quantité.,"Petit, personne de petite taille ou de moindre condition.",Deuxième personne du singulier du passé de l’indicatif du verbe pettää.,,,,,,,,,,,,,,,,,,,,,,
3,4,seul,891.45,4,usle,Qui est sans compagnie ; qui n’est pas avec d’autres.,"Orphelin, dans les expressions :",(Musique) En solo.,"À l’exclusion de tout autre ; unique. — Note :  Dans cette acception, il se place généralement avant le nom, tandis qu’il se met ordinairement après dans le premier sens : Un seul homme, un homme unique. Un homme seul, un homme qui se trouve sans compagnie. Il est à noter qu’en emploi adverbial, le mot continue de s’accorder.[1]","Elliptiquement,",(Anatomie) Talon.,(Habillement) Talon de chaussure.,Mot employé avec répétition devant un adjectif au comparatif dans une phrase du type « plus … plus ». Il ne se traduit pas en français.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,vrai,807.03,4,arvi,"Qui est conforme à la vérité, à ce qui est réellement.","Qui est réellement ce qu’on le dit être ou qu’il doit être, qui a toutes les qualités essentielles à sa nature. — Note :  En ce sens, il se met le plus souvent avant le nom.",(Familier) (Par hyperbole) Qui a les qualités de.,(Familier) (Par hyperbole) Qui a l'apparence de.,"(Figuré) Qui est unique, essentiel, principal.",Qui convient.,"(Littérature) (Arts) Qui exprime, qui rend avec vérité la nature, les pensées, les objets.",(Astronomie) Qui est conforme à la marche réelle du soleil.,"Qui parle, qui agit sans déguisement, en parlant des personnes.","(Mathématiques) Qui indique un résultat affirmatif ou positif, en parlant d’un état dans une logique booléenne.",(Pris adverbialement) Vraiment.,Vérité ; ce qui est conforme à la vérité.,"(Logique) Une des deux valeurs de vérité de l’algèbre de Boole, signifiant un état vrai, soit 1.",D’une manière conforme à la vérité.,"(Par ellipse) (Familier) Vraiment. Note :  En ce sens, il prend souvent la forme interrogative.",,,,,,,,,,,,,,,,,,,,,,,,
5,6,autre,786.09,5,euart,Du même type mais dont l’identité est différente de ce dont on vient de parler.,"Supérieur en mérite, plus important, de plus grande conséquence.","(Figuré) Second, pour exprimer la ressemblance, l’égalité, la conformité qu’il y a entre deux personnes ou entre deux choses.","Personne différente de la personne qui parle, autrui.",S’emploie également par opposition à un ou une pour distinguer deux êtres ou deux choses ou bien encore deux groupes d’êtres ou de choses déterminés ou indéterminés.,"(Moderne) (Sociologie) (Politique) (Philosophie) Toute personne appartenant à une culture différente. — Note :  Il est alors toujours au masculin singulier, avec article défini, et parfois la majuscule et/ou les guillemets : l’autre, l’Autre, l’« autre ».",Autre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,beau,671.86,4,abue,D’aspect agréable à l’œil ou à l’oreille.,(Par extension) Agréable.,(Météorologie) Qualifie un temps ensoleillé.,(Cuisine) Gros.,"Dans les noms composés de parenté, indique que la relation est due à une alliance (incluant un second mariage).","Relatif à Beaux, commune française située dans le département de la Haute-Loire.","(Au singulier) Tout ce qui est excellent, parfait, admirable dans son genre.",(Péjoratif) Homme qui joue de sa beauté.,(Par ellipse) Beau temps.,"Marque des efforts vains, inutiles. → voir avoir beau",(Québec) C’est beau : D’accord ; équivaut à : C’est bon en France.,Homme réputé pour son goût vestimentaire et ses bonnes manières.,"Copain, petit ami, amant.",Escort homme.,Beau.,,,,,,,,,,,,,,,,,,,,,,,,
7,8,juste,656.86,5,sejtu,"Qui est conforme au droit, à la raison et à la justice.",Qui est fondé ; qui est légitime.,"Qui est exact, ou qui s’ajuste bien, qui convient bien, qui est tel qu’il doit être.","Qui est plus court, plus étroit, etc., qu’il ne faut, qui n’est pas suffisant. Note :  Dans ce sens, il se dit surtout des vêtements, et on l’emploie souvent avec les adverbes bien, trop, etc.",Qualifie une arme qui porte droit au but.,Qui a le caractère de la justesse et du bon sens.,"Qui apprécie bien, qui juge des choses avec exactitude.",(Musique) Qui a le ton correct.,Par exclamation.,"(Au singulier) Ce qui est conforme à la justice, à l'équité.","Personne ou chose qui est conforme au droit, à la raison et à la justice.",(Par extension) Personnes qui jugent ou qui agissent selon l’équité.,"(Religion) Celui qui observe exactement les devoirs de la religion, qui unit la piété à la vertu.","Un peu plus court, plus étroit, etc., qu’il ne faudrait",Dans la bonne proportion ; exactement ; comme il faut.,(En particulier) (Musique) Avec le ton correct.,Il a aussi la signification de précisément.,"(Anglicisme) Simplement, seulement, uniquement.","Vraiment (XXIe siècle, langage parlé).","Emploi atténuatif, qui consiste à présenter le contenu de l'énoncé comme n’ayant pas l’importance que l’interlocuteur serait tenté de lui attribuer (en l’absence de juste)[1].","Flacon de table, pichet.","Pot à bière ou à vin, qui possède une ou deux anses, un couvercle et dont la contenance est de trois chopines, ils étaient en usage du XIIIème au XVème siècle.","Pourpoint serré à la taille, vêtement féminin serré à la taille.",Juste.,Variante de joste.,Forme dérivée de just.,,,,,,,,,,,,,
8,9,grand,638.72,5,ndgra,De hauteur importante.,(Typographie) Majuscule.,(Figuré) (Grand + un nom de lettre) Notable et représentatif.,"(Par analogie) De taille, longueur, volume, durée, etc., important, qui dépasse la mesure moyenne ou ordinaire.","(En particulier) En parlant d’un enfant, d’un adolescent dont la taille se développe.",Qui a grandi.,"(Figuré) Célèbre, doté d’une réputation positive, qui mérite l’admiration.","(En particulier) Surnom de personnages illustres, héroïques, méritants. Dans ce sens, il est précédé de l’article.","(Par extension) (Familier) Beaucoup de. S’emploie notamment avec chose, monde et intérêt, toujours dans une phrase négative.",Utilisé pour former des locutions honorifiques.,En grande quantité.,Extrême ; lointain.,"Chose de taille, volume, etc. importante. Par comparaison des petites choses aux grandes.",Personne plus âgée.,"Personne qui appartient à une élite, par sa naissance, son pouvoir ou sa dignité.","Vaste plan, vue générale et complète.","Grandement, largement.",Grand-père.,Mille livres ou mille dollars.,,,,,,,,,,,,,,,,,,,,
9,10,dernier,431.08,7,drreien,"Dans un ensemble trié, l’élément qui arrive après tous les autres.","Ultime, qui est après tous les autres, ou après lequel il n’y en a pas d’autre.",(En particulier) Le plus récent.,"(Par hyperbole) Extrême en son genre, en bien ou en mal.","Le plus vil, le plus méprisable.","Le moins souhaitable, ce qu’il faut le plus éviter.",Personne qui arrive après tous les autres.,"(Avec ce) Celui dont on a parlé juste avant, par opposition au sujet ou au premier des deux du même type dans la phrase précédente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
